,,,,,,contextRef,#text
321,ROCRA,ISD,IND,INRD,R,m1,Aa2
322,ROCRA,ISD,IND,INRD,RAD,m1,2021-06-07
323,ROCRA,ISD,IND,INRD,RAC,m1,NW
324,ROCRA,ISD,IND,INRD,RT,m1,Instrument
325,ROCRA,ISD,IND,INRD,RTT,m1,LT SR GOLT UNDERLYING
326,ROCRA,ISD,IND,OBT,,m1,Instrument
327,ROCRA,ISD,IND,INSTNAME,,m1,Unknown
328,ROCRA,ISD,IND,CUSIP,,m1,89439YBW8
329,ROCRA,ISD,IND,MD,,m1,2031-03-01
330,ROCRA,ISD,IND,INRD,IP,m1,true
331,ROCRA,ISD,IND,INRD,R,m1,Aa2
332,ROCRA,ISD,IND,INRD,RAD,m1,2021-06-07
333,ROCRA,ISD,IND,INRD,RAC,m1,NW
334,ROCRA,ISD,IND,INRD,RT,m1,Instrument
335,ROCRA,ISD,IND,INRD,RTT,m1,LT SR GOLT UNDERLYING
336,ROCRA,ISD,IND,OBT,,m1,Instrument
337,ROCRA,ISD,IND,INSTNAME,,m1,Unknown
338,ROCRA,ISD,IND,CUSIP,,m1,89439YBX6
339,ROCRA,ISD,IND,MD,,m1,2032-03-01
340,ROCRA,ISD,IND,INRD,IP,m1,true
341,ROCRA,ISD,IND,INRD,R,m1,Aa2
342,ROCRA,ISD,IND,INRD,RAD,m1,2021-06-07
343,ROCRA,ISD,IND,INRD,RAC,m1,NW
344,ROCRA,ISD,IND,INRD,RT,m1,Instrument
345,ROCRA,ISD,IND,INRD,RTT,m1,LT SR GOLT UNDERLYING
346,ROCRA,ISD,IND,OBT,,m1,Instrument
347,ROCRA,ISD,IND,INSTNAME,,m1,Unknown
348,ROCRA,ISD,IND,CUSIP,,m1,89439YBY4
349,ROCRA,ISD,IND,MD,,m1,2033-03-01
350,ROCRA,ISD,IND,INRD,IP,m1,true
351,ROCRA,ISD,IND,INRD,R,m1,Aa2
352,ROCRA,ISD,IND,INRD,RAD,m1,2021-06-07
353,ROCRA,ISD,IND,INRD,RAC,m1,NW
354,ROCRA,ISD,IND,INRD,RT,m1,Instrument
355,ROCRA,ISD,IND,INRD,RTT,m1,LT SR GOLT UNDERLYING
356,ROCRA,ISD,IND,OBT,,m1,Instrument
357,ROCRA,ISD,IND,INSTNAME,,m1,Unknown
358,ROCRA,ISD,IND,CUSIP,,m1,89439YBZ1
359,ROCRA,ISD,IND,MD,,m1,2034-03-01
360,ROCRA,ISD,IND,INRD,IP,m1,true
361,ROCRA,ISD,IND,INRD,R,m1,Aa2
362,ROCRA,ISD,IND,INRD,RAD,m1,2021-06-07
363,ROCRA,ISD,IND,INRD,RAC,m1,NW
364,ROCRA,ISD,IND,INRD,RT,m1,Instrument
365,ROCRA,ISD,IND,INRD,RTT,m1,LT SR GOLT UNDERLYING
366,ROCRA,ISD,IND,OBT,,m1,Instrument
367,ROCRA,ISD,IND,INSTNAME,,m1,Unknown
368,ROCRA,ISD,IND,CUSIP,,m1,89439YCA5
369,ROCRA,ISD,IND,MD,,m1,2035-03-01
370,ROCRA,ISD,IND,INRD,IP,m1,true
371,ROCRA,ISD,IND,INRD,R,m1,Aa2
372,ROCRA,ISD,IND,INRD,RAD,m1,2021-06-07
373,ROCRA,ISD,IND,INRD,RAC,m1,NW
374,ROCRA,ISD,IND,INRD,RT,m1,Instrument
375,ROCRA,ISD,IND,INRD,RTT,m1,LT SR GOLT UNDERLYING
376,ROCRA,ISD,IND,OBT,,m1,Instrument
377,ROCRA,ISD,IND,INSTNAME,,m1,Unknown
378,ROCRA,ISD,IND,CUSIP,,m1,89439YCB3
379,ROCRA,ISD,IND,MD,,m1,2036-03-01
380,ROCRA,ISD,IND,INRD,IP,m1,true
381,ROCRA,ISD,IND,INRD,R,m1,Aa2
382,ROCRA,ISD,IND,INRD,RAD,m1,2021-06-07
383,ROCRA,ISD,IND,INRD,RAC,m1,NW
384,ROCRA,ISD,IND,INRD,RT,m1,Instrument
385,ROCRA,ISD,IND,INRD,RTT,m1,LT SR GOLT UNDERLYING
386,ROCRA,ISD,IND,OBT,,m1,Instrument
387,ROCRA,ISD,IND,INSTNAME,,m1,Unknown
388,ROCRA,ISD,IND,CUSIP,,m1,89439YCC1
389,ROCRA,ISD,IND,MD,,m1,2037-03-01
390,ROCRA,ISD,IND,INRD,IP,m1,true
391,ROCRA,ISD,IND,INRD,R,m1,Aa2
392,ROCRA,ISD,IND,INRD,RAD,m1,2021-06-07
393,ROCRA,ISD,IND,INRD,RAC,m1,NW
394,ROCRA,ISD,IND,INRD,RT,m1,Instrument
395,ROCRA,ISD,IND,INRD,RTT,m1,LT SR GOLT UNDERLYING
396,ROCRA,ISD,IND,OBT,,m1,Instrument
397,ROCRA,ISD,IND,INSTNAME,,m1,Unknown
398,ROCRA,ISD,IND,CUSIP,,m1,89439YCD9
399,ROCRA,ISD,IND,MD,,m1,2038-03-01
400,ROCRA,ISD,IND,INRD,IP,m1,true
401,ROCRA,ISD,IND,INRD,R,m1,Aa2
402,ROCRA,ISD,IND,INRD,RAD,m1,2021-06-07
403,ROCRA,ISD,IND,INRD,RAC,m1,NW
404,ROCRA,ISD,IND,INRD,RT,m1,Instrument
405,ROCRA,ISD,IND,INRD,RTT,m1,LT SR GOLT UNDERLYING
406,ROCRA,ISD,IND,OBT,,m1,Instrument
407,ROCRA,ISD,IND,INSTNAME,,m1,Unknown
408,ROCRA,ISD,IND,CUSIP,,m1,89439YCE7
409,ROCRA,ISD,IND,MD,,m1,2039-03-01
410,ROCRA,ISD,IND,INRD,IP,m1,true
411,ROCRA,ISD,IND,INRD,R,m1,Aa2
412,ROCRA,ISD,IND,INRD,RAD,m1,2021-06-07
413,ROCRA,ISD,IND,INRD,RAC,m1,NW
